student_id,date,age,gender,country,grade,mood,stress_level,sleep_hours,screen_time_hours,used_ai_today,ai_tool,journaled_today,meditated_today,exercised_today,social_interaction_rating,support_feeling
S0001,1/17/2025,15,Female,USA,11th,9,1,7.6,8.9,FALSE,None,FALSE,FALSE,TRUE,5,8
S0001,1/18/2025,15,Female,USA,11th,9,1,4.8,10,TRUE,Phind,FALSE,FALSE,FALSE,5,7
S0001,1/19/2025,15,Female,USA,11th,6,3,7.2,4.4,TRUE,Gemini,FALSE,FALSE,FALSE,9,7
S0001,1/20/2025,15,Female,USA,11th,4,6,4.8,8.3,FALSE,None,FALSE,FALSE,TRUE,6,6
S0001,1/21/2025,15,Female,USA,11th,6,4,5.8,8.3,TRUE,Gemini,FALSE,TRUE,TRUE,8,5
S0001,1/22/2025,15,Female,USA,11th,4,5,3.8,5.8,TRUE,EduChat,FALSE,TRUE,TRUE,8,9
S0001,1/23/2025,15,Female,USA,11th,5,6,8.6,6.9,FALSE,None,TRUE,FALSE,FALSE,4,8
S0001,1/24/2025,15,Female,USA,11th,5,5,6.8,8.1,TRUE,Grammarly,TRUE,FALSE,FALSE,9,9
S0001,1/25/2025,15,Female,USA,11th,4,7,4.1,2.6,TRUE,EduChat,FALSE,TRUE,FALSE,8,9
S0001,1/26/2025,15,Female,USA,11th,7,3,6.9,4.9,TRUE,Notion AI,TRUE,FALSE,TRUE,8,6
S0001,1/27/2025,15,Female,USA,11th,3,7,5.3,5.8,FALSE,None,FALSE,TRUE,TRUE,5,4
S0001,1/28/2025,15,Female,USA,11th,3,7,1.7,9,FALSE,None,FALSE,FALSE,TRUE,6,5
S0001,1/29/2025,15,Female,USA,11th,4,6,6.4,6.3,FALSE,None,FALSE,FALSE,TRUE,9,5
S0001,1/30/2025,15,Female,USA,11th,3,6,5.6,8.3,FALSE,None,FALSE,FALSE,FALSE,7,8
S0002,1/1/2025,17,Other,Canada,11th,5,4,7.4,9.5,TRUE,Grammarly,FALSE,FALSE,FALSE,4,7
S0002,1/2/2025,17,Other,Canada,11th,7,4,6.5,8.1,FALSE,None,FALSE,FALSE,FALSE,4,6
S0002,1/3/2025,17,Other,Canada,11th,5,6,5.5,6.9,TRUE,EduChat,TRUE,FALSE,TRUE,4,7
S0002,1/4/2025,17,Other,Canada,11th,5,5,4.9,7,TRUE,Grammarly,TRUE,FALSE,FALSE,7,8
S0002,1/5/2025,17,Other,Canada,11th,8,2,7.2,6.1,TRUE,Notion AI,TRUE,FALSE,TRUE,6,4
S0002,1/6/2025,17,Other,Canada,11th,4,6,7.7,6.5,TRUE,Phind,TRUE,FALSE,FALSE,7,6
S0002,1/7/2025,17,Other,Canada,11th,4,6,4.7,3,TRUE,Notion AI,TRUE,FALSE,FALSE,7,6
S0002,1/8/2025,17,Other,Canada,11th,9,1,7.6,6.8,FALSE,None,TRUE,FALSE,FALSE,7,8
S0002,1/9/2025,17,Other,Canada,11th,6,4,6.6,4.2,FALSE,None,TRUE,FALSE,FALSE,7,8
S0002,1/10/2025,17,Other,Canada,11th,8,2,6.8,5.9,TRUE,Grammarly,FALSE,FALSE,TRUE,5,5
S0002,1/11/2025,17,Other,Canada,11th,3,8,6.1,3.8,FALSE,None,FALSE,FALSE,TRUE,6,9
S0002,1/12/2025,17,Other,Canada,11th,9,2,9.2,8.3,TRUE,EduChat,TRUE,FALSE,FALSE,7,4
S0002,1/13/2025,17,Other,Canada,11th,9,1,6.7,6.2,FALSE,None,FALSE,FALSE,TRUE,7,9
S0002,1/14/2025,17,Other,Canada,11th,4,5,7.8,4.6,TRUE,Grammarly,TRUE,FALSE,FALSE,4,4
S0002,1/15/2025,17,Other,Canada,11th,4,6,8.3,5.1,FALSE,None,TRUE,FALSE,TRUE,9,6
S0002,1/16/2025,17,Other,Canada,11th,9,1,6.6,8.4,TRUE,Grammarly,FALSE,TRUE,FALSE,4,5
S0002,1/17/2025,17,Other,Canada,11th,8,1,2.9,9.1,TRUE,Grammarly,TRUE,FALSE,FALSE,8,7
S0002,1/18/2025,17,Other,Canada,11th,9,1,7,9.9,FALSE,None,TRUE,TRUE,FALSE,7,7
S0002,1/19/2025,17,Other,Canada,11th,5,4,7.2,4.8,TRUE,Notion AI,FALSE,FALSE,TRUE,6,7
S0002,1/20/2025,17,Other,Canada,11th,9,2,7.1,3.8,TRUE,ChatGPT,FALSE,FALSE,FALSE,6,7
S0002,1/21/2025,17,Other,Canada,11th,7,3,7.3,8.1,TRUE,Notion AI,TRUE,TRUE,FALSE,4,9
S0002,1/22/2025,17,Other,Canada,11th,6,5,6.5,11.2,FALSE,None,TRUE,TRUE,FALSE,4,6
S0002,1/23/2025,17,Other,Canada,11th,4,7,8.3,9.9,TRUE,Notion AI,TRUE,FALSE,FALSE,3,7
S0002,1/24/2025,17,Other,Canada,11th,5,6,8,5,TRUE,ChatGPT,TRUE,FALSE,TRUE,8,7
S0002,1/25/2025,17,Other,Canada,11th,3,6,4.5,11.2,TRUE,Gemini,TRUE,TRUE,TRUE,5,4
S0002,1/26/2025,17,Other,Canada,11th,7,4,6.3,7.2,TRUE,EduChat,FALSE,FALSE,FALSE,3,5
S0002,1/27/2025,17,Other,Canada,11th,9,1,5,10.4,TRUE,Phind,FALSE,TRUE,FALSE,4,6
S0002,1/28/2025,17,Other,Canada,11th,3,8,6.5,7.1,FALSE,None,FALSE,FALSE,TRUE,7,4
S0002,1/29/2025,17,Other,Canada,11th,5,6,5.7,5.9,TRUE,Grammarly,TRUE,FALSE,TRUE,4,7
S0002,1/30/2025,17,Other,Canada,11th,7,2,5.3,10.7,FALSE,None,TRUE,FALSE,FALSE,9,9
S0003,1/1/2025,17,Female,USA,9th,6,3,8.6,5.7,TRUE,Grammarly,TRUE,FALSE,FALSE,8,7
S0003,1/2/2025,17,Female,USA,9th,8,1,6.8,3.7,TRUE,Gemini,TRUE,TRUE,FALSE,3,8
S0003,1/3/2025,17,Female,USA,9th,3,8,7.3,9.2,FALSE,None,FALSE,FALSE,FALSE,4,6
S0003,1/4/2025,17,Female,USA,9th,5,5,5.3,6.6,FALSE,None,TRUE,FALSE,FALSE,3,8
S0003,1/5/2025,17,Female,USA,9th,6,4,4.2,3.7,TRUE,Phind,FALSE,TRUE,TRUE,3,4
S0003,1/6/2025,17,Female,USA,9th,4,7,7.7,12.6,TRUE,ChatGPT,TRUE,FALSE,TRUE,7,7
S0003,1/7/2025,17,Female,USA,9th,6,4,6.2,3.9,TRUE,Grammarly,TRUE,FALSE,TRUE,4,6
S0003,1/8/2025,17,Female,USA,9th,8,3,8,8.2,TRUE,ChatGPT,FALSE,FALSE,FALSE,9,7
S0003,1/9/2025,17,Female,USA,9th,3,6,7.4,7.8,FALSE,None,TRUE,FALSE,FALSE,5,5
S0003,1/10/2025,17,Female,USA,9th,8,2,6.1,8.4,TRUE,EduChat,TRUE,FALSE,FALSE,7,9
S0003,1/11/2025,17,Female,USA,9th,7,3,5.5,10.5,TRUE,EduChat,TRUE,FALSE,TRUE,4,9
S0003,1/12/2025,17,Female,USA,9th,4,6,0.2,6.9,FALSE,None,TRUE,TRUE,FALSE,7,7
S0003,1/13/2025,17,Female,USA,9th,5,5,4.8,10.4,TRUE,Gemini,FALSE,FALSE,FALSE,6,5
S0003,1/14/2025,17,Female,USA,9th,6,4,5.5,6.2,TRUE,Notion AI,FALSE,FALSE,TRUE,6,8
S0003,1/15/2025,17,Female,USA,9th,3,8,5.1,5.6,TRUE,EduChat,TRUE,FALSE,TRUE,5,8
S0003,1/16/2025,17,Female,USA,9th,3,6,10.1,8.1,TRUE,ChatGPT,TRUE,FALSE,FALSE,9,8
S0003,1/17/2025,17,Female,USA,9th,7,2,6.9,6.1,TRUE,Notion AI,FALSE,TRUE,FALSE,4,7
S0003,1/18/2025,17,Female,USA,9th,6,4,7.5,7.4,TRUE,ChatGPT,FALSE,TRUE,TRUE,3,5
S0003,1/19/2025,17,Female,USA,9th,9,1,5.5,6.3,TRUE,Phind,TRUE,FALSE,FALSE,9,4
S0003,1/20/2025,17,Female,USA,9th,5,6,6.5,2,FALSE,None,TRUE,FALSE,FALSE,7,8
S0003,1/21/2025,17,Female,USA,9th,8,2,9,6.6,FALSE,None,TRUE,TRUE,TRUE,5,5
S0003,1/22/2025,17,Female,USA,9th,9,1,4.5,8,TRUE,ChatGPT,TRUE,FALSE,TRUE,3,9
S0003,1/23/2025,17,Female,USA,9th,5,6,5.1,2,TRUE,Gemini,TRUE,FALSE,FALSE,9,6
S0003,1/24/2025,17,Female,USA,9th,5,4,6.5,9.3,FALSE,None,FALSE,FALSE,FALSE,4,9
S0003,1/25/2025,17,Female,USA,9th,8,3,4.4,5.3,TRUE,ChatGPT,TRUE,FALSE,TRUE,4,4
S0003,1/26/2025,17,Female,USA,9th,4,7,6.3,4.6,FALSE,None,TRUE,FALSE,FALSE,4,4
S0003,1/27/2025,17,Female,USA,9th,4,7,5.6,4.5,FALSE,None,TRUE,FALSE,FALSE,3,9
S0003,1/28/2025,17,Female,USA,9th,8,2,5.3,6.5,TRUE,Notion AI,TRUE,TRUE,FALSE,5,8
S0003,1/29/2025,17,Female,USA,9th,4,5,7.9,9.3,FALSE,None,TRUE,FALSE,FALSE,6,4
S0003,1/30/2025,17,Female,USA,9th,6,5,6.9,4.1,TRUE,Phind,TRUE,FALSE,FALSE,5,4
S0004,1/1/2025,17,Female,USA,12th,6,3,6,4.9,FALSE,None,FALSE,FALSE,FALSE,5,5
S0004,1/2/2025,17,Female,USA,12th,4,5,5,8.9,TRUE,Notion AI,TRUE,FALSE,TRUE,9,4
S0004,1/3/2025,17,Female,USA,12th,5,4,7,4.7,TRUE,EduChat,FALSE,TRUE,TRUE,9,4
S0004,1/4/2025,17,Female,USA,12th,7,2,5.4,5.4,TRUE,Grammarly,FALSE,FALSE,TRUE,9,8
S0004,1/5/2025,17,Female,USA,12th,9,1,5.9,6.7,FALSE,None,FALSE,TRUE,FALSE,8,5
S0004,1/6/2025,17,Female,USA,12th,4,5,6.4,8.4,TRUE,ChatGPT,TRUE,FALSE,TRUE,5,5
S0004,1/7/2025,17,Female,USA,12th,9,1,1.6,7.8,TRUE,EduChat,FALSE,TRUE,TRUE,3,7
S0004,1/8/2025,17,Female,USA,12th,4,5,6.3,8.3,FALSE,None,FALSE,TRUE,FALSE,5,5
S0004,1/9/2025,17,Female,USA,12th,6,4,5.5,6,FALSE,None,FALSE,FALSE,TRUE,3,6
S0004,1/10/2025,17,Female,USA,12th,9,1,5.7,6.4,TRUE,Notion AI,FALSE,TRUE,FALSE,6,6
S0004,1/11/2025,17,Female,USA,12th,4,7,6.5,5.7,TRUE,ChatGPT,TRUE,FALSE,TRUE,6,7
S0004,1/12/2025,17,Female,USA,12th,6,3,6.7,8.3,FALSE,None,FALSE,FALSE,TRUE,8,7
S0004,1/13/2025,17,Female,USA,12th,4,6,4.5,5.3,FALSE,None,FALSE,FALSE,FALSE,6,4
S0004,1/14/2025,17,Female,USA,12th,4,6,8.7,6.1,FALSE,None,TRUE,FALSE,TRUE,4,7
S0004,1/15/2025,17,Female,USA,12th,3,8,5.3,4.6,TRUE,Gemini,FALSE,TRUE,TRUE,4,8
S0004,1/16/2025,17,Female,USA,12th,7,2,5.7,5.1,TRUE,Phind,FALSE,FALSE,FALSE,7,4
S0004,1/17/2025,17,Female,USA,12th,7,4,6.7,7.4,TRUE,Grammarly,FALSE,FALSE,FALSE,6,4
S0004,1/18/2025,17,Female,USA,12th,4,5,5.3,3.8,TRUE,Grammarly,TRUE,TRUE,TRUE,7,9
S0004,1/19/2025,17,Female,USA,12th,5,4,6.1,6.5,FALSE,None,TRUE,FALSE,FALSE,3,4
S0004,1/20/2025,17,Female,USA,12th,5,6,7.5,6.3,FALSE,None,TRUE,FALSE,TRUE,5,7
S0004,1/21/2025,17,Female,USA,12th,3,8,5.5,3.7,TRUE,Gemini,TRUE,FALSE,TRUE,4,4
S0004,1/22/2025,17,Female,USA,12th,4,6,5.9,5.8,FALSE,None,FALSE,FALSE,FALSE,4,6
S0004,1/23/2025,17,Female,USA,12th,9,1,6.7,7.2,TRUE,Grammarly,TRUE,FALSE,FALSE,7,4
S0004,1/24/2025,17,Female,USA,12th,4,6,4.2,8.1,TRUE,Gemini,FALSE,FALSE,FALSE,9,8
S0004,1/25/2025,17,Female,USA,12th,4,6,6.9,5.2,FALSE,None,FALSE,FALSE,FALSE,8,5
S0004,1/26/2025,17,Female,USA,12th,4,7,9.4,5.6,TRUE,EduChat,TRUE,TRUE,FALSE,5,6
S0004,1/27/2025,17,Female,USA,12th,4,7,8.5,6.5,TRUE,Gemini,TRUE,TRUE,TRUE,5,5
S0004,1/28/2025,17,Female,USA,12th,4,5,4.3,7.8,TRUE,ChatGPT,FALSE,FALSE,FALSE,6,6
S0004,1/29/2025,17,Female,USA,12th,5,4,3,8.5,FALSE,None,TRUE,FALSE,TRUE,3,5
S0004,1/30/2025,17,Female,USA,12th,8,2,5.5,10.6,FALSE,None,TRUE,FALSE,TRUE,5,6
S0005,1/1/2025,16,Male,USA,9th,6,3,7.3,9.3,TRUE,Phind,TRUE,FALSE,FALSE,4,9
S0005,1/2/2025,16,Male,USA,9th,6,5,5.5,5.9,TRUE,Gemini,TRUE,TRUE,FALSE,3,6
S0005,1/3/2025,16,Male,USA,9th,4,6,8.4,4.3,TRUE,EduChat,TRUE,FALSE,TRUE,4,9
S0005,1/4/2025,16,Male,USA,9th,8,2,7.6,7.7,TRUE,Gemini,FALSE,FALSE,TRUE,4,7
S0005,1/5/2025,16,Male,USA,9th,6,4,6.6,7.8,TRUE,Notion AI,FALSE,TRUE,TRUE,7,9
S0005,1/6/2025,16,Male,USA,9th,5,4,6.4,7.4,TRUE,ChatGPT,FALSE,TRUE,TRUE,9,6
S0005,1/7/2025,16,Male,USA,9th,5,6,5.5,4.6,TRUE,Gemini,FALSE,FALSE,TRUE,9,5
S0005,1/8/2025,16,Male,USA,9th,4,5,6.6,9.1,FALSE,None,TRUE,TRUE,FALSE,4,9
S0005,1/9/2025,16,Male,USA,9th,3,7,6.8,9.6,FALSE,None,TRUE,TRUE,TRUE,8,9
S0005,1/10/2025,16,Male,USA,9th,6,3,9.1,8,FALSE,None,FALSE,FALSE,FALSE,3,5
S0005,1/11/2025,16,Male,USA,9th,4,7,7.5,6.4,FALSE,None,TRUE,FALSE,FALSE,3,7
S0005,1/12/2025,16,Male,USA,9th,6,5,3.1,8.4,TRUE,Phind,TRUE,FALSE,FALSE,5,5
S0005,1/13/2025,16,Male,USA,9th,3,8,5.2,8.8,TRUE,ChatGPT,TRUE,FALSE,FALSE,4,7
S0005,1/14/2025,16,Male,USA,9th,6,3,5.7,10.2,TRUE,Grammarly,FALSE,TRUE,FALSE,4,5
S0005,1/15/2025,16,Male,USA,9th,8,3,5.4,7.9,TRUE,Phind,FALSE,FALSE,FALSE,5,9
S0005,1/16/2025,16,Male,USA,9th,9,1,8.2,0.3,TRUE,Gemini,TRUE,FALSE,FALSE,6,4
S0005,1/17/2025,16,Male,USA,9th,4,6,5.8,10.7,FALSE,None,FALSE,TRUE,FALSE,5,6
S0005,1/18/2025,16,Male,USA,9th,7,2,3.5,6.4,TRUE,ChatGPT,TRUE,FALSE,TRUE,8,8
S0005,1/19/2025,16,Male,USA,9th,9,1,7.6,5.2,TRUE,Gemini,TRUE,TRUE,FALSE,5,7
S0005,1/20/2025,16,Male,USA,9th,6,3,6,5,TRUE,ChatGPT,FALSE,FALSE,FALSE,3,5
S0005,1/21/2025,16,Male,USA,9th,8,3,7.8,9.5,FALSE,None,TRUE,FALSE,FALSE,9,4
S0005,1/22/2025,16,Male,USA,9th,5,5,7,7.1,FALSE,None,TRUE,FALSE,TRUE,6,8
S0005,1/23/2025,16,Male,USA,9th,7,3,4.2,8.1,TRUE,ChatGPT,TRUE,FALSE,FALSE,9,5
S0005,1/24/2025,16,Male,USA,9th,4,6,8,5.2,FALSE,None,FALSE,TRUE,FALSE,7,6
S0005,1/25/2025,16,Male,USA,9th,6,3,5.8,7.5,TRUE,ChatGPT,TRUE,FALSE,FALSE,3,9
S0005,1/26/2025,16,Male,USA,9th,4,5,4.1,8.5,FALSE,None,FALSE,TRUE,TRUE,3,8
S0005,1/27/2025,16,Male,USA,9th,5,5,6.5,7.5,TRUE,EduChat,TRUE,FALSE,TRUE,9,7
S0005,1/28/2025,16,Male,USA,9th,8,1,6.7,4,TRUE,ChatGPT,FALSE,FALSE,FALSE,3,8
S0005,1/29/2025,16,Male,USA,9th,4,5,4.1,2.6,TRUE,Notion AI,FALSE,FALSE,FALSE,6,4
S0005,1/30/2025,16,Male,USA,9th,9,2,6.2,9.8,TRUE,EduChat,FALSE,FALSE,FALSE,7,7
S0006,1/1/2025,17,Other,Brazil,11th,3,7,2.4,10.6,TRUE,EduChat,TRUE,FALSE,TRUE,4,4
S0006,1/2/2025,17,Other,Brazil,11th,5,4,8.5,3.8,FALSE,None,FALSE,TRUE,TRUE,3,4
S0006,1/3/2025,17,Other,Brazil,11th,3,6,6.2,7.7,FALSE,None,TRUE,TRUE,FALSE,6,6
S0006,1/4/2025,17,Other,Brazil,11th,3,8,8,5.6,TRUE,EduChat,TRUE,TRUE,FALSE,3,9
S0006,1/5/2025,17,Other,Brazil,11th,7,3,7.1,9.3,TRUE,ChatGPT,FALSE,TRUE,FALSE,9,7
S0006,1/6/2025,17,Other,Brazil,11th,3,6,3.5,8.6,FALSE,None,TRUE,FALSE,FALSE,4,5
S0006,1/7/2025,17,Other,Brazil,11th,6,3,7.5,5,TRUE,Notion AI,TRUE,FALSE,TRUE,6,9
S0006,1/8/2025,17,Other,Brazil,11th,3,7,10.1,6.3,FALSE,None,TRUE,TRUE,FALSE,4,4
S0006,1/9/2025,17,Other,Brazil,11th,8,3,7,5.6,TRUE,Notion AI,TRUE,FALSE,FALSE,7,5
S0006,1/10/2025,17,Other,Brazil,11th,5,6,6.2,6.8,TRUE,EduChat,FALSE,FALSE,FALSE,9,5
S0006,1/11/2025,17,Other,Brazil,11th,8,3,4.6,7.9,TRUE,Notion AI,FALSE,FALSE,FALSE,8,9
S0006,1/12/2025,17,Other,Brazil,11th,8,1,3,5,TRUE,Notion AI,TRUE,FALSE,TRUE,8,7
S0006,1/13/2025,17,Other,Brazil,11th,3,6,6.7,7.8,TRUE,EduChat,TRUE,TRUE,FALSE,7,4
S0006,1/14/2025,17,Other,Brazil,11th,5,6,7.9,5.8,FALSE,None,TRUE,FALSE,FALSE,8,5
S0006,1/15/2025,17,Other,Brazil,11th,7,4,5.5,7.9,TRUE,ChatGPT,FALSE,FALSE,FALSE,6,5
S0006,1/16/2025,17,Other,Brazil,11th,9,1,6.3,6.1,TRUE,Grammarly,FALSE,TRUE,TRUE,5,5
S0006,1/17/2025,17,Other,Brazil,11th,9,1,5.8,8.3,TRUE,Phind,FALSE,FALSE,TRUE,5,9
S0006,1/18/2025,17,Other,Brazil,11th,7,2,6.2,3.1,TRUE,Phind,TRUE,TRUE,TRUE,9,6
S0006,1/19/2025,17,Other,Brazil,11th,9,1,6.8,4.3,FALSE,None,FALSE,TRUE,FALSE,8,6
S0006,1/20/2025,17,Other,Brazil,11th,7,4,4.4,10.2,FALSE,None,FALSE,TRUE,FALSE,4,4
S0006,1/21/2025,17,Other,Brazil,11th,9,1,5.6,5.4,TRUE,Phind,FALSE,FALSE,FALSE,8,4
S0006,1/22/2025,17,Other,Brazil,11th,9,1,6.3,6.1,TRUE,EduChat,TRUE,TRUE,FALSE,3,5
S0006,1/23/2025,17,Other,Brazil,11th,5,4,5.9,8.3,TRUE,ChatGPT,TRUE,FALSE,FALSE,3,4
S0006,1/24/2025,17,Other,Brazil,11th,9,2,8,9.2,TRUE,Phind,FALSE,TRUE,FALSE,3,4
S0006,1/25/2025,17,Other,Brazil,11th,6,4,6.2,9.4,TRUE,Phind,TRUE,TRUE,FALSE,6,5
S0006,1/26/2025,17,Other,Brazil,11th,6,3,6.7,5,TRUE,ChatGPT,TRUE,FALSE,FALSE,8,8
S0006,1/27/2025,17,Other,Brazil,11th,8,3,6.8,7.9,FALSE,None,FALSE,FALSE,TRUE,7,4
S0006,1/28/2025,17,Other,Brazil,11th,8,3,5,4.2,TRUE,ChatGPT,TRUE,TRUE,FALSE,5,5
S0006,1/29/2025,17,Other,Brazil,11th,5,4,5.8,11,FALSE,None,FALSE,TRUE,TRUE,5,5
S0006,1/30/2025,17,Other,Brazil,11th,8,2,5.7,9.4,FALSE,None,TRUE,TRUE,FALSE,4,7
S0007,1/1/2025,17,Male,Brazil,9th,8,3,8.6,4.2,FALSE,None,TRUE,FALSE,FALSE,5,6
S0007,1/2/2025,17,Male,Brazil,9th,4,7,5.9,7.1,TRUE,Grammarly,FALSE,FALSE,FALSE,4,7
S0007,1/3/2025,17,Male,Brazil,9th,3,7,5.2,4,TRUE,Gemini,FALSE,FALSE,FALSE,9,8
S0007,1/4/2025,17,Male,Brazil,9th,7,3,8,2.8,TRUE,ChatGPT,FALSE,FALSE,TRUE,7,8
S0007,1/5/2025,17,Male,Brazil,9th,3,8,6.4,7.5,TRUE,Grammarly,TRUE,TRUE,TRUE,5,4
S0007,1/6/2025,17,Male,Brazil,9th,7,3,7.7,6.2,FALSE,None,TRUE,TRUE,FALSE,3,7
S0007,1/7/2025,17,Male,Brazil,9th,7,4,10.3,8,TRUE,EduChat,TRUE,TRUE,FALSE,6,7
S0007,1/8/2025,17,Male,Brazil,9th,7,2,5.4,6.7,TRUE,EduChat,FALSE,TRUE,FALSE,3,4
S0007,1/9/2025,17,Male,Brazil,9th,4,7,8.2,3.4,FALSE,None,FALSE,FALSE,TRUE,9,5
S0007,1/10/2025,17,Male,Brazil,9th,8,3,6.6,3.7,TRUE,Gemini,TRUE,FALSE,FALSE,8,6
S0007,1/11/2025,17,Male,Brazil,9th,3,7,7.7,10.4,TRUE,EduChat,FALSE,TRUE,FALSE,8,7
S0007,1/12/2025,17,Male,Brazil,9th,6,4,9,8.7,TRUE,ChatGPT,FALSE,FALSE,FALSE,4,6
S0007,1/13/2025,17,Male,Brazil,9th,7,3,5.8,6.6,FALSE,None,TRUE,FALSE,FALSE,3,7
S0007,1/14/2025,17,Male,Brazil,9th,6,5,8.8,1.9,FALSE,None,TRUE,TRUE,TRUE,8,9
S0007,1/15/2025,17,Male,Brazil,9th,6,4,6.3,7.3,TRUE,Phind,FALSE,FALSE,TRUE,6,7
S0007,1/16/2025,17,Male,Brazil,9th,7,2,3.2,7.9,TRUE,Gemini,FALSE,FALSE,FALSE,4,5
S0007,1/17/2025,17,Male,Brazil,9th,4,5,7.3,6.1,FALSE,None,FALSE,FALSE,TRUE,4,9
S0007,1/18/2025,17,Male,Brazil,9th,3,8,6.2,6.5,TRUE,ChatGPT,FALSE,FALSE,TRUE,4,4
S0007,1/19/2025,17,Male,Brazil,9th,5,4,8.5,2.4,TRUE,Gemini,FALSE,TRUE,FALSE,3,9
S0007,1/20/2025,17,Male,Brazil,9th,6,3,5.9,7.8,FALSE,None,TRUE,FALSE,TRUE,5,4
S0007,1/21/2025,17,Male,Brazil,9th,8,3,3.6,7.2,FALSE,None,FALSE,FALSE,TRUE,6,5
S0007,1/22/2025,17,Male,Brazil,9th,8,1,6.1,7.3,FALSE,None,FALSE,FALSE,FALSE,6,6
S0007,1/23/2025,17,Male,Brazil,9th,7,2,5.8,5.8,FALSE,None,FALSE,FALSE,TRUE,7,8
S0007,1/24/2025,17,Male,Brazil,9th,8,2,6.8,7.8,TRUE,Grammarly,TRUE,FALSE,FALSE,6,5
S0007,1/25/2025,17,Male,Brazil,9th,3,7,6.6,3.8,FALSE,None,FALSE,FALSE,TRUE,8,4
S0007,1/26/2025,17,Male,Brazil,9th,3,6,6.3,8.2,TRUE,Phind,TRUE,FALSE,FALSE,9,4
S0007,1/27/2025,17,Male,Brazil,9th,4,7,7.4,7.4,TRUE,Grammarly,TRUE,FALSE,TRUE,4,5
S0007,1/28/2025,17,Male,Brazil,9th,6,4,8.1,7.9,TRUE,Grammarly,FALSE,FALSE,FALSE,5,8
S0007,1/29/2025,17,Male,Brazil,9th,7,3,5.5,7.7,FALSE,None,FALSE,FALSE,FALSE,3,5
S0007,1/30/2025,17,Male,Brazil,9th,4,6,7,8,TRUE,EduChat,FALSE,FALSE,TRUE,9,9
S0008,1/1/2025,16,Male,India,10th,7,4,7.6,6.1,TRUE,EduChat,TRUE,TRUE,FALSE,7,6
S0008,1/2/2025,16,Male,India,10th,3,8,7.1,4.5,TRUE,Grammarly,FALSE,TRUE,FALSE,9,5
S0008,1/3/2025,16,Male,India,10th,3,8,6.2,7.2,TRUE,Grammarly,TRUE,TRUE,FALSE,8,5
S0008,1/4/2025,16,Male,India,10th,4,5,5.3,7.1,TRUE,ChatGPT,FALSE,FALSE,FALSE,8,8
S0008,1/5/2025,16,Male,India,10th,7,4,5.8,6.5,FALSE,None,TRUE,FALSE,TRUE,9,9
S0008,1/6/2025,16,Male,India,10th,9,1,5.8,7.4,TRUE,Notion AI,TRUE,TRUE,TRUE,6,8
S0008,1/7/2025,16,Male,India,10th,7,4,5.2,4.5,TRUE,Gemini,FALSE,FALSE,TRUE,6,7
S0008,1/8/2025,16,Male,India,10th,3,7,8.2,7.3,FALSE,None,TRUE,FALSE,FALSE,5,4
S0008,1/9/2025,16,Male,India,10th,4,5,8.5,9,FALSE,None,FALSE,FALSE,TRUE,4,4
S0008,1/10/2025,16,Male,India,10th,3,7,9.2,6.4,TRUE,EduChat,TRUE,FALSE,FALSE,7,5
S0008,1/11/2025,16,Male,India,10th,6,5,6,8.2,TRUE,Phind,FALSE,FALSE,TRUE,3,6
